No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
247,Formaldehyde (hydrated),1400000000,9.146128036,463-79-6,O=C(O)O,6,,https://doi.org/10.1039/A907133D,halogenated,Halogenated organics,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)",BVKZGUZCCUSVTD-UHFFFAOYSA-N
248,Formaldehyde (hydrated),1700000000,9.230448921,463-79-6,O=C(O)O,5.4,,https://doi.org/10.1039/B212666D,halogenated,Halogenated organics,"InChI=1S/CH2O3/c2-1(3)4/h(H2,2,3,4)",BVKZGUZCCUSVTD-UHFFFAOYSA-N
249,Acetaldehyde,630000000,8.799340549,1632-98-0,CC=O,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H4O/c1-2-3/h2H,1H3",IKHGUXGNUITLKF-UHFFFAOYSA-N
250,Acetone,5000000,6.698970004,96124-92-4,CC(=O)C,6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N
251,Acetone,78000000,7.892094603,96124-92-4,CC(=O)C,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,InChI=1S/C3H6O/c1-3(2)4/h1-2H3,CSCPPACGZOOCGX-UHFFFAOYSA-N
252,2-Butanone,240000000,8.380211242,101258-83-7,CCC(=O)C,5.4,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3",ZWEHNKRNPOVVGH-UHFFFAOYSA-N
253,Formic acid,130000000,8.113943352,64-18-6,O=CO,1,,https://doi.org/10.1039/A907133D,halogenated,Halogenated organics,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N
254,Formic acid,2800000000,9.447158031,64-18-6,O=CO,1,,https://doi.org/10.1039/B212666D,halogenated,Halogenated organics,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)",BDAGIHXWWSANSR-UHFFFAOYSA-N
255,Formate,4200000000,9.62324929,114609-31-3,C(=O)[O-],6,,https://doi.org/10.1039/A907133D,halogenated,Halogenated organics,"InChI=1S/CH2O2/c2-1-3/h1H,(H,2,3)/p-1",BDAGIHXWWSANSR-UHFFFAOYSA-M
256,Acetic acid,200000000,8.301029996,64-19-7,CC(=O)[O-].[H+],2,,https://doi.org/10.1039/F19888403319,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N
257,Acetic acid,32000000,7.505149978,64-19-7,CC(=O)[O-].[H+],1,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N
258,Acetic acid,100000000,8,64-19-7,CC(=O)[O-].[H+],1,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)",QTBSBXVTEAMEQO-UHFFFAOYSA-N
259,Acetate,3700000000,9.568201724,64392-62-7,CC(=O)[O-],6,,https://doi.org/10.1039/A907133D,alkane,Aliphatic hydrocarbons,"InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)/p-1",QTBSBXVTEAMEQO-UHFFFAOYSA-M
260,Propionic acid,800000000,8.903089987,79-09-4,CCC(O)=O,2,,https://doi.org/10.1039/F19888403319,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N
261,Propionic acid,1200000000,9.079181246,79-09-4,CCC(O)=O,1,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C3H6O2/c1-2-3(4)5/h2H2,1H3,(H,4,5)",XBDQKXXYIPTUBI-UHFFFAOYSA-N
262,Isobutyric acid,1700000000,9.230448921,79-31-2,CC(C)C(=O)O,1,,https://doi.org/10.1039/B212666D,alkane,Aliphatic hydrocarbons,"InChI=1S/C4H8O2/c1-3(2)4(5)6/h3H,1-2H3,(H,5,6)",KQNPFQTWMSNSAP-UHFFFAOYSA-N
263,Diethyl ether,1300000000,9.113943352,8013-43-2,CCOCC,5.8,,https://doi.org/10.1039/B212666D,alcohol,Oxygenated organics,"InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3",RTZKZFJDLAIYFH-UHFFFAOYSA-N
264,Methyl-tert-butyl ether,1300000000,9.113943352,1219795-06-8,CC(C)(C)OC,5.4,,https://doi.org/10.1039/B212666D,alcohol,Oxygenated organics,"InChI=1S/C5H12O/c1-5(2,3)6-4/h1-4H3",BZLVMXJERCGZMT-UHFFFAOYSA-N
265,Methyl formate,20000000,7.301029996,137847-51-9,COC=O,4,,https://doi.org/10.1039/b101932p,alcohol,Oxygenated organics,"InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3",TZIHFWKZFHZASV-UHFFFAOYSA-N
266,Ethyl formate,72000000,7.857332496,73222-61-4,CCOC=O,4,,https://doi.org/10.1039/b101932p,alcohol,Oxygenated organics,"InChI=1S/C3H6O2/c1-2-5-3-4/h3H,2H2,1H3",WBJINCZRORDGAQ-UHFFFAOYSA-N
267,Methyl acetate,14000000,7.146128036,68683-25-0,CC(=O)OC,4,,https://doi.org/10.1039/b101932p,alcohol,Oxygenated organics,InChI=1S/C3H6O2/c1-3(4)5-2/h1-2H3,KXKVLQRXCPHEJC-UHFFFAOYSA-N
268,Ethyl acetate,80000000,7.903089987,62018-65-9,CCOC(=O)C,4,,https://doi.org/10.1039/b101932p,alcohol,Oxygenated organics,"InChI=1S/C4H8O2/c1-3-6-4(2)5/h3H2,1-2H3",XEKOWRVHYACXOJ-UHFFFAOYSA-N
269,Acetylacetone,2900000000,9.462397998,123-54-6,CC(=O)CC(C)=O,7,,https://doi.org/10.1021/acs.est.9b02462,alkane,Aliphatic hydrocarbons,"InChI=1S/C5H8O2/c1-4(6)3-5(2)7/h3H2,1-2H3",YRKCREAYFQTBPV-UHFFFAOYSA-N
270,"Fumaric acid, 3.03",3000000000,9.477121255,110-17-8,O=C(/C=C/C(O)=O)O,2,,https://doi.org/10.1039/F19888403319,diol,Polyfunctional / highly functionalized,"InChI=1S/C4H4O4/c5-3(6)1-2-4(7)8/h1-2H,(H,5,6)(H,7,8)/b2-1+",VZCYOOQTPOCHFL-OWOJBTEDSA-N
