No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
391,Propranolol,6.31,0.8,127202-03-3,CC(C)NCC(O)COc1cccc2ccccc12,,,https://kinetics.nist.gov/solution/,amine,Nitrogen-containing organics,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3",AQHHHDLHHXJYJD-UHFFFAOYSA-N
392,Trimethoprim,58,1.76,304671-81-6,COc1cc(Cc2cnc(N)nc2N)cc(OC)c1OC,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",IEDVJHCEMCRBQM-UHFFFAOYSA-N
393,tramadol,3500,3.54,874008-35-2,[Cl-].COc1cccc(c1)[C@@]2(O)CCCC[C@@H]2CN(C)C.[H+],,,https://doi.org/10.1016/j.chemosphere.2015.06.034,amine,Nitrogen-containing organics,"InChI=1S/C16H25NO2.ClH/c1-17(2)12-14-7-4-5-10-16(14,18)13-8-6-9-15(11-13)19-3;/h6,8-9,11,14,18H,4-5,7,10,12H2,1-3H3;1H/t14-,16+;/m1./s1",PPKXEPBICJTCRU-XMZRARIVSA-N
394,Sulfamethoxazole,1800,3.26,1346603-52-8,Cc1onc(N[S](=O)(=O)c2ccc(N)cc2)c1,,,https://doi.org/10.1016/j.watres.2007.07.025,sulfoxide,Sulfur-containing organics,"InChI=1S/C10H11N3O3S/c1-7-6-10(12-16-7)13-17(14,15)9-4-2-8(11)3-5-9/h2-6H,11H2,1H3,(H,12,13)",JLKIGFTWXXRPMT-UHFFFAOYSA-N
395,Sulfamethizole,560,2.75,1334378-92-5,Cc1sc(N[S](=O)(=O)c2ccc(N)cc2)nn1,,,https://doi.org/10.1016/j.watres.2007.07.025,sulfoxide,Sulfur-containing organics,"InChI=1S/C9H10N4O2S2/c1-6-11-12-9(16-6)13-17(14,15)8-4-2-7(10)3-5-8/h2-5H,10H2,1H3,(H,12,13)",VACCAVUAMIDAGB-UHFFFAOYSA-N
396,Sulfamerazine,940,2.97,127-79-7,Cc1ccnc(N[S](=O)(=O)c2ccc(N)cc2)n1,,,https://doi.org/10.1016/j.watres.2007.07.025,sulfoxide,Sulfur-containing organics,"InChI=1S/C11H12N4O2S/c1-8-6-7-13-11(14-8)15-18(16,17)10-4-2-9(12)3-5-10/h2-7H,12H2,1H3,(H,13,14,15)",QPPBRPIAZZHUNT-UHFFFAOYSA-N
397,Sulfamethazine,1400,3.15,53081-02-0,Cc1cc(C)nc(N[S](=O)(=O)c2ccc(N)cc2)n1,,,https://doi.org/10.1016/j.watres.2007.07.025,sulfoxide,Sulfur-containing organics,"InChI=1S/C12H14N4O2S/c1-8-7-9(2)15-12(14-8)16-19(17,18)11-5-3-10(13)4-6-11/h3-7H,13H2,1-2H3,(H,14,15,16)",ASWVTGNCAZCNNR-UHFFFAOYSA-N
398,Sulfathiazole,3900,3.59,1020719-89-4,Nc1ccc(cc1)[S](=O)(=O)Nc2sccn2,,,https://doi.org/10.1016/j.watres.2007.07.025,sulfoxide,Sulfur-containing organics,"InChI=1S/C9H9N3O2S2/c10-7-1-3-8(4-2-7)16(13,14)12-9-11-5-6-15-9/h1-6H,10H2,(H,11,12)",JNMRHUJNCSQMMB-UHFFFAOYSA-N
399,Diethylethanolamine,160,2.2,53404-34-5,CCC(O)(CC)CN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C6H15NO/c1-3-6(8,4-2)5-7/h8H,3-5,7H2,1-2H3",OFAPYHPFMXHSQJ-UHFFFAOYSA-N
400,Dimethylethanolamine,130,2.11,287476-09-9,CC(C)(O)CN,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C4H11NO/c1-4(2,6)3-5/h6H,3,5H2,1-2H3",LXQMHOKEXZETKB-UHFFFAOYSA-N
401,Methyldiethanolamine,150,2.18,53484-71-2,CN(CCO)CCO,,,https://doi.org/10.1016/j.watres.2007.07.025,amine,Nitrogen-containing organics,"InChI=1S/C5H13NO2/c1-6(2-4-7)3-5-8/h7-8H,2-5H2,1H3",CRVGTESFCCXCTH-UHFFFAOYSA-N
