No.,Chemical compound,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
479,Bezafibrate,2.803803993,41859-67-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,8,,doi.org/10.1016/j.watres.2012.06.006,alcohol,Oxygenated organics,"InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)",IIBYAHWJQTYFKB-UHFFFAOYSA-N
480,Bezafibrate,2.803803993,41859-67-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,,,doi.org/10.1016/j.watres.2012.06.006,alcohol,Oxygenated organics,"InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)",IIBYAHWJQTYFKB-UHFFFAOYSA-N
481,Bezafibrate,2.803803993,41859-67-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,7,,doi.org/10.1016/j.watres.2012.06.006,alcohol,Oxygenated organics,"InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)",IIBYAHWJQTYFKB-UHFFFAOYSA-N
482,Bisphenol F,9.155336037,1333-16-0,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,,,https://doi.org/10.1016/j.scitotenv.2022.157173,halogenated,Halogenated organics,"InChI=1S/C13H12O2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8,14-15H,9H2",PXKLMJQFEQBVLD-UHFFFAOYSA-N
483,Bisphenol F,9.117271296,1333-16-0,C1=CC(=CC=C1CC2=CC=C(C=C2)O)O,,,https://doi.org/10.1016/j.scitotenv.2022.157173,halogenated,Halogenated organics,"InChI=1S/C13H12O2/c14-12-5-1-10(2-6-12)9-11-3-7-13(15)8-4-11/h1-8,14-15H,9H2",PXKLMJQFEQBVLD-UHFFFAOYSA-N
484,Bisphenol S,7.450249108,80-09-1,C1=CC(=CC=C1O)S(=O)(=O)C2=CC=C(C=C2)O,,,https://doi.org/10.1016/j.scitotenv.2022.157173,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C12H10O4S/c13-9-1-5-11(6-2-9)17(15,16)12-7-3-10(14)4-8-12/h1-8,13-14H",VPWNQTHUCYMVMZ-UHFFFAOYSA-N
485,Br-,2.204119983,24959-67-9,[Br-],3~7,,NIST,halogenated,Halogenated organics,InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M
486,Br-,1.301029996,24959-67-9,[Br-],2,,NIST,halogenated,Halogenated organics,InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M
487,Br-,2.361727836,24959-67-9,[Br-],3,,NIST,halogenated,Halogenated organics,InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M
488,Br-,2.477121255,24959-67-9,[Br-],6.3,,NIST,halogenated,Halogenated organics,InChI=1S/BrH/h1H/p-1,CPELXLSAUQHCOX-UHFFFAOYSA-M
