No.,Chemical compound,K,Logk,Cas,Smiles,Ph,T,Ref,Chemical_class_27,Chemical_class_coarse,InChI,InChIKey
112,Dimethyl phthalate,,7.1461,198283-80-6,COC(=O)C1=CC=CC=C1C(=O)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138869,ester,Oxygenated organics,"InChI=1S/C10H10O4/c1-13-9(11)7-5-3-4-6-8(7)10(12)14-2/h3-6H,1-2H3",NIQCNGHVCWTJSM-UHFFFAOYSA-N
113,Diethyl phthalate,,7.0414,1817006-92-0,CCOC(=O)C1=CC=CC=C1C(=O)OCC,,,https://doi.org/10.1016/j.chemosphere.2023.138870,ester,Oxygenated organics,"InChI=1S/C12H14O4/c1-3-15-11(13)9-7-5-6-8-10(9)12(14)16-4-2/h5-8H,3-4H2,1-2H3",FLKPEMZONWLCSK-UHFFFAOYSA-N
114,Dibutyl phthalate,,7.0414,93952-11-5,CCCCOC(=O)C1=CC=CC=C1C(=O)OCCCC,,,https://doi.org/10.1016/j.chemosphere.2023.138871,ester,Oxygenated organics,"InChI=1S/C16H22O4/c1-3-5-11-19-15(17)13-9-7-8-10-14(13)16(18)20-12-6-4-2/h7-10H,3-6,11-12H2,1-2H3",DOIRQSBPFJWKBE-UHFFFAOYSA-N
115,4-Nitroanisole,,7.3979,1805556-65-3,COC1=CC=C(C=C1)[N+](=O)[O-],,,https://doi.org/10.1016/j.chemosphere.2023.138872,nitro,Nitrogen-containing organics,"InChI=1S/C7H7NO3/c1-11-7-4-2-6(3-5-7)8(9)10/h2-5H,1H3",BNUHAJGCKIQFGE-UHFFFAOYSA-N
116,Anisole,,8.2095,342-33-6,COC1=CC=CC=C1,,,https://doi.org/10.1016/j.chemosphere.2023.138873,ether,Oxygenated organics,"InChI=1S/C7H8O/c1-8-7-5-3-2-4-6-7/h2-6H,1H3",RDOXTESZEPMUJZ-UHFFFAOYSA-N
117,"1,3,5-Trimethoxybenzene",,9.416,79173-14-1,COC1=CC(=CC(=C1)OC)OC,,,https://doi.org/10.1016/j.chemosphere.2023.138874,ether,Oxygenated organics,"InChI=1S/C9H12O3/c1-10-7-4-8(11-2)6-9(5-7)12-3/h4-6H,1-3H3",LKUDPHPHKOZXCD-UHFFFAOYSA-N
118,Bezafibrate,,8.5105,153758-85-1,CC(C)(C(=O)O)OC1=CC=C(C=C1)CCNC(=O)C2=CC=C(C=C2)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138875,halogenated,Halogenated organics,"InChI=1S/C19H20ClNO4/c1-19(2,18(23)24)25-16-9-3-13(4-10-16)11-12-21-17(22)14-5-7-15(20)8-6-14/h3-10H,11-12H2,1-2H3,(H,21,22)(H,23,24)",IIBYAHWJQTYFKB-UHFFFAOYSA-N
119,Clofibric acid,,8.1492,72072-47-0,CC(C)(C(=O)O)OC1=CC=C(C=C1)Cl,,,https://doi.org/10.1016/j.chemosphere.2023.138876,halogenated,Halogenated organics,"InChI=1S/C10H11ClO3/c1-10(2,9(12)13)14-8-5-3-7(11)4-6-8/h3-6H,1-2H3,(H,12,13)",TXCGAZHTZHNUAI-UHFFFAOYSA-N
120,acetaminophen,432000000,8.635483747,462631-86-3,CC(=O)NC1=CC=C(C=C1)O,7,,https://doi.org/10.1021/acs.est.9b02462,phenol,Oxygenated organics,"InChI=1S/C8H9NO2/c1-6(10)9-7-2-4-8(11)5-3-7/h2-5,11H,1H3,(H,9,10)",RZVAJINKPMORJF-UHFFFAOYSA-N
121,aspirin,23000000,7.361727836,69453-66-3,CC(=O)OC1=CC=CC=C1C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C9H8O4/c1-6(10)13-8-5-3-2-4-7(8)9(11)12/h2-5H,1H3,(H,11,12)",BSYNRYMUTXBXSQ-UHFFFAOYSA-N
122,diclofenac,1154000000,9.062205809,146607-19-4,C1=CC=C(C(=C1)CC(=O)O)NC2=C(C=CC=C2Cl)Cl,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C14H11Cl2NO2/c15-10-5-3-6-11(16)14(10)17-12-7-2-1-4-9(12)8-13(18)19/h1-7,17H,8H2,(H,18,19)",DCOPUUMXTXDBNB-UHFFFAOYSA-N
123,ibuprofen,5000000,6.698970004,462631-86-3,CC(C)CC1=CC=C(C=C1)C(C)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C13H18O2/c1-9(2)8-11-4-6-12(7-5-11)10(3)13(14)15/h4-7,9-10H,8H2,1-3H3,(H,14,15)",HEFNNWSXXWATRW-UHFFFAOYSA-N
124,indomethacin,499000000,8.698100546,5354-81-4,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,halogenated,Halogenated organics,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",CGIGDMFJXJATDK-UHFFFAOYSA-N
125,naproxen,657000000,8.81756537,119166-66-4,C[C@@H](C1=CC2=C(C=C1)C=C(C=C2)OC)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,carboxylic acid,Oxygenated organics,"InChI=1S/C14H14O3/c1-9(14(15)16)10-3-4-12-8-13(17-2)6-5-11(12)7-10/h3-9H,1-2H3,(H,15,16)/t9-/m0/s1",CMWTZPSULFXXJA-VIFPVBQESA-N
126,atenolol,411000000,8.613841822,1202864-50-3,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O,7,,https://doi.org/10.1021/acs.est.9b02462,amide,Nitrogen-containing organics,"InChI=1S/C14H22N2O3/c1-10(2)16-8-12(17)9-19-13-5-3-11(4-6-13)7-14(15)18/h3-6,10,12,16-17H,7-9H2,1-2H3,(H2,15,18)",METKIMKYRPQLGS-UHFFFAOYSA-N
127,metoprolol,507000000,8.705007959,959786-79-9,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C15H25NO3/c1-12(2)16-10-14(17)11-19-15-6-4-13(5-7-15)8-9-18-3/h4-7,12,14,16-17H,8-11H2,1-3H3",IUBSYMUCCVWXPE-UHFFFAOYSA-N
128,propranolol,1781000000,9.250663919,127202-03-3,CC(C)NCC(COC1=CC=CC2=CC=CC=C21)O,7,,https://doi.org/10.1021/acs.est.9b02462,amine,Nitrogen-containing organics,"InChI=1S/C16H21NO2/c1-12(2)17-10-14(18)11-19-16-9-5-7-13-6-3-4-8-15(13)16/h3-9,12,14,17-18H,10-11H2,1-2H3",AQHHHDLHHXJYJD-UHFFFAOYSA-N
129,amoxicillin,420000000,8.62324929,2088960-43-2,CC1([C@@H](N2[C@H](S1)[C@@H](C2=O)NC(=O)[C@@H](C3=CC=C(C=C3)O)N)C(=O)O)C,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H19N3O5S/c1-16(2)11(15(23)24)19-13(22)10(14(19)25-16)18-12(21)9(17)7-3-5-8(20)6-4-7/h3-6,9-11,14,20H,17H2,1-2H3,(H,18,21)(H,23,24)/t9-,10-,11+,14-/m1/s1",LSQZJLSUYDQPKJ-NJBDSQKTSA-N
130,cefotaxime,491000000,8.691081492,65715-12-0,CC(=O)OCC1=C(N2[C@@H]([C@@H](C2=O)NC(=O)/C(=N\OC)/C3=CSC(=N3)N)SC1)C(=O)O,7,,https://doi.org/10.1021/acs.est.9b02462,"sulfide, disulfide",Sulfur-containing organics,"InChI=1S/C16H17N5O7S2/c1-6(22)28-3-7-4-29-14-10(13(24)21(14)11(7)15(25)26)19-12(23)9(20-27-2)8-5-30-16(17)18-8/h5,10,14H,3-4H2,1-2H3,(H2,17,18)(H,19,23)(H,25,26)/b20-9-/t10-,14-/m1/s1",GPRBEKHLDVQUJE-QSWIMTSFSA-N
